K1,K2,K3,K4,K5,K6,Col15
65041.971926,-148145.769673,114.315353,4280488.174828,1150254.941306,-41.569219,0
74065.956633,-109292.405958,119.511506,4474015.40771,264749.162089,-58.889727,0
963642.055248,-141337.077948,135.099963,3348615.395492,435562.280681,-51.961524,0
216168.601039,-79107.956534,143.760217,3674725.921541,588232.167063,-50.229473,0
55985.078253,-24222.730544,157.616623,1712625.857762,257432.979478,-41.569219,0
25156.305929,-17455.608039,135.099963,1313845.408031,252598.825674,-22.51666,0
216771.35472,-198789.203235,98.726896,3856549.687117,1986024.881584,-22.51666,0
7681.645332,-31601.266984,93.530744,930878.582172,264861.745392,-22.51666,0
42137.332047,-22579.014327,103.923048,178924.312523,117872.985658,-29.444864,0
341404.53468,-161049.548189,121.243557,3682092.333626,702798.66773,-45.033321,0
189869.141577,-72867.377474,133.367912,4894697.639903,951969.764856,-36.373067,0
49484.691572,-26278.674852,121.243557,1797331.802506,269207.460868,-39.837169,0
101645.401642,-134545.706732,98.726896,2020884.136137,1080429.04505,-36.373067,0
139540.941261,-140329.024378,93.530744,3271057.624431,585635.822903,-39.837169,0
93684.896131,-54225.314633,88.334591,1881414.20896,277405.25734,-58.889727,0
100928.332608,-23231.997482,98.726896,2009113.118849,153624.246377,-58.889727,0
11814.318558,-5513.11772,119.511506,269652.597926,31693.065677,-60.621778,0
18098.198888,-68644.637606,105.655099,318645.387068,208116.296834,-71.014083,0
15335.57785,-32444.775727,88.334591,1168224.968435,127160.242088,-76.210236,0
5620.504871,-28024.582066,65.817931,1156810.753613,179391.966242,-86.60254,0
20703.203303,-19608.547192,51.961524,394180.122787,172778.996258,-83.138439,0
43824.349533,-151400.29314,60.621778,981090.735084,505559.649967,-81.406388,0
165502.650816,-80135.062663,74.478185,2471383.622983,1524332.88242,-34.641016,0
8985.87959,-73913.536162,41.569219,1367843.824007,657815.576207,-36.373067,0
699.748526,-45071.426115,29.444864,1828193.483795,390825.140372,-22.51666,0
82144.2416,-195337.225976,39.837169,1113480.03856,674671.894666,-83.138439,1
2480.296756,-4162.118091,64.08588,462897.506526,16953.313304,-84.87049,1
38647.249669,-182369.36158,76.210236,3392803.475695,632018.411479,-98.726896,1
58624.723684,-48280.916261,86.60254,1458501.095326,297457.209539,-88.334591,1
87527.45551,-27170.681018,88.334591,441678.152082,280003.333552,-71.014083,1
10941.364951,-21188.177529,71.014083,1689211.994945,216915.114937,-60.621778,1
319610.139368,-93916.990939,91.798693,1643856.512498,671183.544339,-41.569219,1
22249.924674,-15132.927906,88.334591,373461.331026,105895.854324,-38.105118,1
133892.723577,-79026.550146,93.530744,2120411.239642,358659.224825,-48.497423,1
13430.321962,-9528.011492,119.511506,63115.931428,29043.027941,-65.817931,1
22398.881043,-10463.318929,121.243557,117618.37419,32787.721787,-77.942286,1
133433.730113,-59875.264367,110.851252,1311785.99962,1491207.410726,-62.353829,1
224939.706328,-165298.26882,109.119201,2138764.049999,1290235.823473,-51.961524,1
202.649944,-791.547219,109.119201,499776.332321,1108.512517,-51.961524,1
4988.306326,-2778.209495,109.119201,132035.965112,80429.5113,-51.961524,1
527291.69145,-86983.591556,109.119201,970282.738044,364761.23982,-51.961524,1
48010.716335,-29233.55353,96.994845,566837.875488,435202.014113,-25.980762,1
1591.754692,-22151.197778,58.889727,325301.658322,196958.425532,-19.052559,1
13920.49234,-28461.05887,74.478185,700708.082405,187633.063984,-38.105118,1
7489.387692,-4326.662917,64.08588,82608.431216,61884.443304,-31.176915,1
59383.361937,-30551.644195,69.282032,717633.682897,177032.913042,-46.765372,1
64326.634942,-56916.921588,93.530744,827180.700323,183642.418923,-62.353829,1
6651.075101,-23304.743616,96.994845,1904899.085859,61357.899858,-77.942286,1
74440.079608,-70937.872875,96.994845,1972790.281364,525542.320134,-90.066642,1
32313.139866,-43924.80848,105.655099,373194.595202,94996.058592,-105.655099,1
44617.628803,-16012.809716,91.798693,1088871.060686,311289.367289,-76.210236,1
12193.637685,-4373.428289,83.138439,303929.883407,62203.140652,-46.765372,1
88388.284761,-14279.026858,96.994845,1172970.787648,216379.911237,-29.444864,1
91845.458173,-88859.402581,86.60254,2142855.154006,609742.506043,-13.856406,1
1787.476433,-7336.967221,69.282032,511857.386704,120070.958133,-19.052559,1
2629.253126,-9212.778245,64.08588,166320.178797,22256.852877,-51.961524,1
19667.43692,-139075.019594,24.248711,2303980.912431,752827.223256,-77.942286,1
166089.816039,-135072.250177,22.51666,2233491.640716,868382.724934,-77.942286,1
5717.499716,-92694.163069,41.569219,313057.791163,193180.822721,-117.779455,1
25682.849375,-29205.840717,51.961524,485698.223357,79045.602705,-112.583302,1
11935.562115,-17443.483683,88.334591,811389.59311,55250.688711,-116.047404,1
2568.631348,-4309.342409,74.478185,91391.660861,65882.016567,-100.458947,1
27886.018002,-119826.738969,81.406388,1818073.110927,336307.109153,-95.262794,1
90949.987905,-74578.643672,69.282032,489034.153212,577886.62759,-77.942286,1
4749.283314,-26039.651841,60.621778,175364.948114,125223.809286,-76.210236,1
240618.230238,-82007.409586,86.60254,496901.12798,511145.513822,-84.87049,1
116655.353941,-113927.373919,91.798693,3896073.354495,497193.844567,-72.746134,1
17668.650288,-70290.085873,93.530744,356121.770392,121331.891121,-100.458947,1
149309.707816,-57898.994395,110.851252,1371325.246131,332972.911349,-93.530744,1
36461.40155,-93686.628181,98.726896,599918.313862,248114.546133,-116.047404,1
14587.331901,-22733.166849,98.726896,1887549.13292,51038.341147,-129.903811,1
55404.841233,-69200.625915,91.798693,527956.79896,857186.748513,-88.334591,1
56787.017777,-95157.139317,83.138439,4036767.841593,337663.304936,-98.726896,1
28034.974371,-32082.777109,76.210236,1112127.306879,229590.262746,-83.138439,1
37592.430727,-115054.938994,76.210236,1032892.910636,230989.759799,-84.87049,1
44699.035191,-37024.318063,81.406388,574855.538676,356256.870355,-90.066642,1
56218.905112,-81292.072602,64.08588,2849348.286109,448433.150232,-88.334591,1
7870.43887,-65442.075662,50.229473,605382.93416,258536.295843,-98.726896,1
104390.702172,-82339.963341,64.08588,4526004.64475,269720.147907,-83.138439,1
64731.934831,-72974.764624,71.014083,1122590.625808,263373.913748,-95.262794,1
118749.403367,-28416.025549,96.994845,2846552.756106,162670.747745,-88.334591,1
128710.427561,-147584.585211,119.511506,1303182.903259,415307.678537,-88.334591,1
56709.075491,-64092.808083,103.923048,640271.633577,270570.584854,-90.066642,1
31202.895298,-23916.157551,93.530744,1206939.768086,213670.983774,-76.210236,1
21804.787616,-14407.198617,86.60254,1052681.591113,81853.257064,-83.138439,1
89359.965264,-153800.91556,88.334591,1853843.424205,508450.442765,-77.942286,1
86477.83272,-26465.73634,93.530744,669049.657744,461198.364684,-48.497423,1
85835.241871,-80978.571406,91.798693,2841961.089415,884885.705028,-46.765372,1
158454.93608,-31289.497839,110.851252,665786.474023,131227.097385,-41.569219,1
25009.08161,-39405.887923,109.119201,760777.336463,74325.764254,-53.693575,1
171563.096591,-107788.985857,128.17176,4113445.730845,297181.813461,-83.138439,1
91609.899263,-181189.83498,140.296115,1430329.288941,306098.411018,-116.047404,1
28857.698505,-16830.337697,105.655099,3153496.407918,309763.430527,-105.655099,1
143735.968317,-119805.95436,109.119201,3078973.189872,451095.312323,-90.066642,1
39213.630283,-24511.983029,98.726896,1801317.251414,135836.084584,-83.138439,1
50988.111673,-91838.52997,83.138439,755442.619975,681167.085194,-53.693575,1
29517.609863,-19520.212601,76.210236,547177.366772,390478.730211,-53.693575,1
8202.992625,-24278.15617,58.889727,488505.877716,130792.352632,-51.961524,1
141584.761214,-114686.012172,41.569219,5726327.978751,1210422.92226,-46.765372,1
91521.564672,-103479.643447,71.014083,1469425.13977,166663.124857,-65.817931,1
20595.816153,-101021.863351,81.406388,960824.008584,316890.8196,-95.262794,1
45888.954096,-34381.20853,81.406388,1070873.320745,395344.060929,-83.138439,1
84428.816615,-74895.60897,74.478185,1014455.22979,976509.460698,-76.210236,1
35508.773606,-14930.277961,64.08588,185573.655574,105909.71073,-53.693575,1
11942.490318,-12029.092859,60.621778,993838.629027,181061.66322,-25.980762,1
6467.477715,-100914.476201,69.282032,2161744.900114,227899.781158,-60.621778,1
12469.033764,-33354.102401,86.60254,995151.52354,58027.166155,-93.530744,1
46838.117938,-60756.878228,74.478185,1338482.098717,805433.070383,-84.87049,1
113544.59069,-219570.348825,71.014083,1613550.819518,1210166.57874,-105.655099,1
161619.392905,-102523.551402,81.406388,2282986.724593,399481.930308,-88.334591,1
58351.059656,-61025.346103,64.08588,1086371.711371,489655.959452,-62.353829,1
45466.333699,-196923.784516,65.817931,2194335.168109,484033.722531,-95.262794,1
54317.113325,-29275.12275,60.621778,2068139.67832,1062897.226776,-65.817931,1
73792.292606,-96934.223446,46.765372,1253500.757895,771313.401525,-53.693575,1
22667.348919,-10809.72909,51.961524,2289317.370294,73937.784874,-51.961524,1
16111.536612,-12621.454235,64.08588,1573299.690801,74549.198809,-31.176915,1
8667.182241,-39880.469844,50.229473,597528.083748,1324871.643472,-36.373067,1
136863.190712,-23231.997482,69.282032,2020322.951676,293955.002807,-24.248711,1
118629.891861,-44472.136535,74.478185,2387328.929342,340697.85795,-19.052559,1
57500.62271,-83134.974662,76.210236,3573589.742837,249105.279195,-25.980762,1
41368.301488,-97311.810522,110.851252,1887034.71383,245036.691848,-67.549981,1
126694.320421,-82194.471073,98.726896,1807769.140673,789288.624806,-76.210236,1
14440.107583,-25194.411047,98.726896,1510414.122131,55411.769436,-100.458947,1
20559.443086,-82578.986352,98.726896,3785497.498889,470752.356938,-90.066642,1
12065.465926,-77064.136581,81.406388,1068507.339342,261096.266936,-90.066642,1
50835.691202,-15009.952298,88.334591,1246352.584212,123983.660907,-90.066642,1
52072.375479,-78250.591384,69.282032,2352223.723575,1183998.75514,-60.621778,1
25436.89816,-75141.560185,60.621778,3086675.619813,208308.554474,-76.210236,1
10006.057515,-227402.682577,64.08588,2795330.817573,639474.890205,-83.138439,1
96374.771035,-101584.779864,64.08588,312403.075958,297290.932662,-105.655099,1
131720.731865,-135292.22063,86.60254,2720229.094557,268556.209764,-135.099963,1
3628.646442,-4163.850141,86.60254,158222.841271,24006.224193,-117.779455,1
32344.316781,-19598.154888,105.655099,1009662.645205,98127.606452,-100.458947,1
84063.353895,-95623.060984,96.994845,4056688.157931,361097.952362,-98.726896,1
31069.527386,-10669.432975,96.994845,398939.798406,47336.948571,-83.138439,1
6656.271253,-18319.901392,98.726896,484984.618424,36291.660571,-100.458947,1
148502.572139,-53508.245598,105.655099,1796332.40919,234897.266421,-100.458947,1
2788.6018,-15936.59948,128.17176,803112.122301,27996.869254,-107.38715,1
8372.733604,-40218.219752,109.119201,596067.964917,138219.386495,-116.047404,1
74324.032204,-49919.436325,119.511506,1097638.701874,278856.715917,-93.530744,1
97393.21691,-66429.344623,114.315353,1378284.626275,256085.44395,-98.726896,1
207937.895601,-183812.159902,103.923048,1023087.771015,627411.156331,-93.530744,1
62882.104569,-82864.774736,98.726896,522391.719715,675200.170162,-77.942286,1
166517.632589,-187354.203804,86.60254,1115385.294449,1193076.433422,-83.138439,1
49153.869868,-194090.149395,81.406388,773442.091967,247963.857713,-110.851252,1
11292.971265,-2440.459588,88.334591,538407.993533,17725.807965,-93.530744,1
3517.79519,-19605.083091,98.726896,2482402.930221,114474.701974,-95.262794,1
120005.140202,-47326.556266,119.511506,672143.100487,154758.739656,-98.726896,1
54568.260692,-87749.158013,119.511506,2875618.300707,612259.175866,-60.621778,1
20114.306028,-16224.119914,96.994845,2075805.735195,117980.372808,-67.549981,1
82748.727332,-91596.042857,103.923048,674793.138222,480379.095327,-67.549981,1
9410.232038,-24619.370179,88.334591,1055425.159592,124265.985189,-67.549981,1
28493.967835,-49619.791535,88.334591,1018284.794125,139771.304018,-84.87049,1
3135.011962,-3072.658133,91.798693,142327.81101,19298.510098,-84.87049,1
41647.161668,-23912.693449,88.334591,477703.076829,254436.531581,-72.746134,1
22684.669427,-80926.609882,81.406388,88048.802803,197360.261319,-90.066642,1
11573.563496,-97311.810522,81.406388,592399.481306,264622.72238,-93.530744,1
44198.472508,-87375.035039,88.334591,512704.359548,194672.118466,-107.38715,1
2199.704526,-41761.477021,71.014083,1009603.755478,327917.055041,-116.047404,1
9465.657663,-21030.560906,46.765372,408346.566342,368876.592539,-83.138439,1
62868.248162,-156683.048103,46.765372,921807.832093,230080.433125,-90.066642,1
10420.017658,-8805.746306,46.765372,461783.797857,40292.697936,-76.210236,1
13646.828313,-66796.539394,60.621778,1529232.854155,292198.703288,-84.87049,1
28282.657637,-47598.488243,93.530744,198330.209771,210180.901397,-105.655099,1
2608.468516,-111552.732261,71.014083,215557.187104,173842.475454,-121.243557,1
6871.045554,-68719.11579,119.511506,256140.869576,130761.175717,-79.674337,1
8076.552916,-10156.745936,109.119201,116321.068135,41576.147585,-84.87049,1
80228.593407,-78953.804012,110.851252,2033053.525111,776268.798885,-77.942286,1
2689.874904,-79187.630871,74.478185,438311.045313,257015.555234,-96.994845,1
90854.725111,-101524.158086,58.889727,4965659.761489,790844.006431,-77.942286,1
25750.399356,-15304.400936,65.817931,352065.3074,150613.942074,-64.08588,1
53447.62382,-106275.173451,83.138439,3606138.441612,150899.730457,-90.066642,1
17705.023355,-15675.059808,109.119201,1242446.809641,126580.005068,-69.282032,1
105630.85055,-57081.466414,133.367912,363512.431188,151310.226498,-79.674337,1
34208.003449,-91935.524815,105.655099,3576144.517778,583366.836345,-91.798693,1
85798.868804,-62487.196985,93.530744,1611125.948388,326188.468335,-74.478185,1
1134.493279,-11310.291773,91.798693,433991.310598,25970.369809,-96.994845,1
98723.43193,-93863.297364,71.014083,1833112.508089,438257.351738,-95.262794,1
147087.48663,-96624.186351,114.315353,1615641.404843,195053.169644,-100.458947,1
96769.678619,-122982.535541,105.655099,908351.529369,659580.535979,-102.190998,1
4794.316635,-13473.623232,116.047404,236521.930078,23665.010184,-102.190998,1
11299.899469,-18364.934713,109.119201,1523641.794148,114355.190468,-96.994845,1
37303.178243,-73371.404259,81.406388,1710661.712146,413239.609873,-91.798693,1
34492.059782,-75822.256152,60.621778,2060033.680541,1433207.957383,-72.746134,1
16844.194104,-40126.421059,45.033321,245381.369959,119684.710803,-64.08588,1
9502.03073,-33267.499861,39.837169,499274.037587,187809.733166,-67.549981,1
22996.438572,-168564.916643,45.033321,5231219.523357,444497.930797,-77.942286,1
42755.674185,-69217.946423,74.478185,829936.393158,109567.802036,-114.315353,1
18614.350029,-12779.070858,91.798693,869397.706707,62776.44947,-100.458947,1
41134.474629,-56374.789685,128.17176,639504.335069,80316.927998,-112.583302,1
24103.219038,-23529.910221,119.511506,878409.567059,213127.119821,-95.262794,1
20720.523811,-26926.461854,105.655099,958677.997634,211377.748505,-69.282032,1
32543.502623,-24969.244442,96.994845,454604.447259,109626.691763,-74.478185,1
130963.825662,-52074.10753,96.994845,1138572.258609,291308.429173,-50.229473,1
56864.960063,-95136.354707,105.655099,439745.183381,395965.867169,-64.08588,1
16967.169711,-38560.647129,110.851252,1643210.457547,108836.876595,-79.674337,1
28918.320283,-15588.457268,119.511506,616987.674571,65506.161542,-77.942286,1
39755.762186,-59475.16063,96.994845,1339199.167752,295830.813831,-86.60254,1
53745.536559,-54372.538951,88.334591,967662.145173,384724.857428,-79.674337,1
65819.662738,-34358.69187,96.994845,559383.128812,245545.914786,-64.08588,1
39189.381572,-47766.497171,91.798693,802419.301978,103789.680542,-74.478185,1
12318.345343,-27698.956515,88.334591,1966802.581722,125312.143877,-74.478185,1
24683.456059,-91767.515887,96.994845,120888.486114,121387.316747,-107.38715,1
64816.805321,-45989.413043,88.334591,983655.90233,512236.70583,-100.458947,1
6157.440621,-54781.302942,60.621778,1642465.6757,775879.087454,-77.942286,1
38053.156242,-107925.81787,64.08588,404665.958376,342849.065053,-84.87049,1
10489.299691,-58468.839111,51.961524,131493.833209,66133.163935,-96.994845,1
6306.39699,-47522.278007,46.765372,380048.320248,134039.947896,-122.975607,1
9952.36394,-43505.652185,64.08588,2150353.201952,215034.10776,-138.564065,1
10350.735626,-170298.699502,76.210236,1601209.957514,199944.481124,-155.884573,1
23017.223182,-26758.452926,69.282032,1029059.882199,258939.863681,-109.119201,1
28192.590995,-10859.958563,71.014083,366091.45484,195725.205357,-77.942286,1
51587.401253,-46865.830751,74.478185,981996.597656,418782.172457,-67.549981,1
36698.692511,-82450.814593,69.282032,3659392.075742,514263.205275,-31.176915,1
92915.865572,-113920.445715,93.530744,1975132.014056,343666.593035,-48.497423,1
86178.187931,-46193.795038,110.851252,2905364.541277,189668.223683,-67.549981,1
22203.159302,-47187.992201,98.726896,711729.121694,224307.507783,-79.674337,1
6515.975138,-25289.673841,81.406388,470942.882527,118096.420212,-90.066642,1
42972.180536,-57737.91367,76.210236,580640.588374,151130.093214,-91.798693,1
76004.121487,-55522.620687,91.798693,134419.267023,98382.217921,-96.994845,1
5154.583203,-35685.442788,93.530744,456445.617268,178247.080658,-96.994845,1
33891.038152,-77944.018391,119.511506,143275.242802,113735.116279,-114.315353,1
4399.409051,-106822.501506,96.994845,3644130.976076,160902.323871,-136.832014,1
65831.787094,-10769.891921,74.478185,529460.219061,211240.916491,-107.38715,1
20680.686642,-116871.860292,69.282032,1656183.518096,235047.954841,-124.707658,1
24858.39319,-52889.90346,29.444864,871011.978059,1718253.290836,-77.942286,1
94284.18571,-186373.863047,46.765372,977302.739968,596061.036714,-53.693575,1
63933.459409,-235456.718832,27.712813,1802197.133225,649401.273383,-91.798693,1
59968.79511,-52995.558559,39.837169,1114687.277973,341513.653881,-67.549981,1
64877.427099,-35292.267255,81.406388,1327145.826182,198532.859716,-90.066642,1
10314.362559,-28655.04856,45.033321,800643.9499,499014.229965,-67.549981,1
37698.085827,-41688.730887,51.961524,480831.160588,282111.239384,-45.033321,1
31885.323317,-61191.622981,65.817931,1206298.909287,145975.510011,-64.08588,1
50101.30166,-36099.402931,45.033321,2120939.515138,549382.26745,-50.229473,1
40885.059313,-98735.556285,71.014083,273664.027596,417975.036781,-69.282032,1
63779.306887,-107006.098892,81.406388,5477943.232692,372475.794117,-79.674337,1
254595.880255,-145187.426894,76.210236,487544.589518,1121605.088898,-62.353829,1
118948.58921,-93553.260269,98.726896,534964.676527,250050.978936,-84.87049,1
7560.401775,-3431.19265,105.655099,145509.588344,38972.875221,-69.282032,1
9763.570402,-20131.626536,103.923048,285963.32038,84120.511571,-64.08588,1
100270.153301,-104906.853313,110.851252,2825885.92587,348693.004478,-77.942286,1
34990.890415,-151857.554554,88.334591,766972.882201,548992.556018,-74.478185,1
7103.140362,-6637.218695,93.530744,38856.827817,33544.62799,-86.60254,1
