K1,K2,K3,K4,K5,K6,K7,K8,score_class
-225155093.774287,-225176524.438929,312096012.79465,545919.897885,-5052.392206,-312647819.93323,-113099.453633,105656.831313,1
-225079332.139913,-225252085.155409,735447035.63746,921234.523276,-60678.935942,-736395122.144406,-224858.29994,142029.898271,1
-207722144.424272,-207948589.282752,506218755.9213,336702.016737,-57829.712363,-506627440.237549,-193069.971469,112585.034543,0
-233795545.275248,-233857828.090238,307138469.423245,150582.765159,-29786.077738,-307290427.436745,-75384.047298,45035.053048,1
-228582960.88653,-228652798.907142,405736793.591174,595027.002381,-42970.448485,-406380300.695659,4243.524479,1.732051,1
-225142647.257184,-225189036.773963,239691143.115322,324324.781666,-18841.248685,-240019432.561287,-20753.432776,1.732051,1
-225157089.096817,-225175339.716177,258474458.164644,204193.201755,-7705.894043,-258680885.711941,-35252.430086,27714.544972,1
-190503305.998937,-190547071.458743,204901451.186724,443993.904012,-19849.302255,-205347533.94401,-59960.134856,39838.900625,0
-216436452.303719,-216562386.253836,175180531.468292,353378.201913,-34644.480253,-175575303.952455,-164407.994705,122977.339388,0
-233793123.868219,-233834874.952936,134315673.064197,309238.619133,-29179.859955,-134677257.722836,-57756.966229,76211.967584,1
-225091633.164748,-225224249.366881,431865607.943637,663818.864306,-36376.531061,-432579031.01102,-58907.047965,19054.290934,1
-225162990.193919,-225168195.006595,85823439.676488,177505.762912,-2556.506992,-86004981.117782,846.972845,1.732051,1
-225140515.10264,-225191139.483643,104808474.559013,290684.890882,-18872.425599,-105102775.971981,-86472.636568,64087.611931,0
-220830703.307639,-220841573.658508,238584236.209576,67638.316086,-2407.550623,-238653911.417412,-4177.706548,1.732051,1
-68834166.288983,-68872668.046385,83932146.762182,17705.023355,-17597.636205,-83951573.79231,-18905.334565,71.014083,1
-219875576.014161,-220063262.77172,196905658.604035,199573.822251,-86933.362083,-197114500.630157,-109541.821274,19054.290934,0
-225072698.38532,-225246481.971047,256872555.386807,326933.250183,-55595.366821,-257246428.945925,-87972.592567,22518.392549,1
-216482384.559085,-216529193.23216,550006228.360664,788150.667425,-20173.195756,-550795359.368846,-48996.253245,27714.544972,1
-225110011.955868,-225221244.25873,58154106.426808,184707.63017,-29663.10213,-58363296.595143,-86978.395404,34642.748202,0
-68852273.148126,-68854769.033339,83948732.880715,1564.041879,-1014.981773,-83950811.341684,-1136.22533,0,1
-242400946.996068,-242570564.999602,528876725.784831,1469601.808952,-71992.691817,-530356991.830605,-97601.063007,17322.240126,1
-68826330.49113,-68879047.189509,83930690.107453,16024.934072,-19054.290934,-83953827.190411,-23796.646045,45.033321,0
-216340257.665969,-216647308.704931,583797013.679571,562932.100917,-84021.784675,-584447499.21676,-205202.987376,90068.374044,1
-216474531.440724,-216534072.419285,376753568.168092,569657.654203,-30075.330223,-377329300.124477,-23126.342383,1.732051,1
-178399163.378879,-178403013.727825,227825592.226057,102416.164252,-1477.439339,-227928986.999015,-1226.291972,1.732051,0
-190488697.882426,-190561873.564944,372266964.215112,737209.321124,-35243.769832,-373004653.31431,-35190.076257,1.732051,1
-216388524.725823,-216602206.101902,363331123.573276,512328.504523,-61804.768966,-363911225.493848,-166834.597887,93532.47566,1
-216467279.343993,-216545148.884199,323563567.853199,622641.088406,-36643.266885,-324187949.652667,-105424.736504,67551.713546,1
-216473253.187228,-216537527.860646,282630866.751022,420593.897602,-26166.09155,-283056102.544789,-54653.131182,25982.494164,0
-112579183.675157,-112585793.181038,206826575.429863,416781.653774,-2670.822345,-207246653.176325,-533.471649,1.732051,1
-147220196.362433,-147227457.119418,56626591.767055,176695.163134,-2442.191639,-56805117.707892,-2017.839191,1.732051,1
-216483856.802272,-216527433.468539,195989900.825413,414344.658288,-18728.665382,-196407848.149381,-72621.42626,53695.307085,1
-216500028.960662,-216511020.555087,185819835.419118,329725.316084,-3242.399112,-186152848.167636,-2712.391565,1.732051,0
-213030500.830344,-213049425.217468,450380662.963883,245568.431446,-6301.200838,-450635970.71702,-2312.287828,1.732051,0
-216467999.877128,-216541944.590205,323414292.786399,601778.536429,-28734.722898,-324023245.477273,-65343.348766,32910.697395,0
-216483498.267755,-216527009.116092,373059567.985164,435673.131933,-19511.552347,-373498736.395626,-18065.289923,1.732051,0
-242481232.747151,-242491756.687858,316301814.938656,231055.57773,-2591.148008,-316535312.708024,-3018.964558,1.732051,0
-225138594.258294,-225193103.629259,228472158.132269,387241.527251,-20561.175137,-228865279.972012,-24544.891994,1.732051,0
-207841830.867126,-207849765.391876,216463945.146188,762999.557649,-1934.700752,-217227660.04082,-213437.156915,211311.930574,1
-190500335.531802,-190549861.792594,200554218.434026,336468.189878,-21761.486346,-200892882.864328,-22826.697593,1.732051,0
-207820914.621574,-207869910.874819,187941450.434072,91554.473637,-23881.516535,-188036060.245334,-75688.88824,53695.307085,1
-207836717.853142,-207853099.58968,174387222.753562,176360.877328,-5837.011222,-174569282.078047,-4461.76288,1.732051,0
-225123754.046975,-225208338.748162,219020010.465204,811671.917392,-23628.637117,-219845679.085172,-207293.572701,168010.660385,1
-207840433.102125,-207850737.072379,112123683.75763,63775.842785,-2554.774941,-112190892.525116,-4300.682155,796.743371,0
-199152324.223193,-199216475.921004,161142133.233237,606368.471069,-25397.060991,-161756503.779037,-132588.489319,105656.831313,1
-181834417.687817,-181895049.858387,99805605.150024,341808.102518,-25447.290465,-100150356.006864,-28166.610233,1.732051,1
-173178310.179606,-173229603.132221,101490748.557623,332380.549972,-19565.245922,-101830188.946687,-125357.177198,103924.780505,0
-207844382.177966,-207847654.021941,76086501.287439,101285.135074,-1349.267579,-76187791.618666,-919.718979,1.732051,0
-207843628.735864,-207847811.638565,52328570.041901,60938.743563,-1222.82787,-52391247.764475,-682.428018,1.732051,0
-202625600.511458,-202671990.028237,132341375.898631,272631.725315,-19615.475396,-132619877.544132,-38321.624117,19054.290934,0
